data,valor
2010-09-01,129941482
2010-10-01,132104593
2010-11-01,133092998
2010-12-01,148053707
2011-01-01,142413969
2011-02-01,137584152
2011-03-01,135529426
2011-04-01,135514677
2011-05-01,133636005
2011-06-01,135309433
2011-07-01,136424584
2011-08-01,137258127
2011-09-01,141884834
2011-10-01,143731034
2011-11-01,144819241
2011-12-01,160160294
2012-01-01,153970447
2012-02-01,151623354
2012-03-01,147901092
2012-04-01,147515271
2012-05-01,148007869
2012-06-01,150074702
2012-07-01,153472627
2012-08-01,154185220
2012-09-01,160845785
2012-10-01,161891062
2012-11-01,161763413
2012-12-01,180418918
2013-01-01,172616875
2013-02-01,169063886
2013-03-01,166095210
2013-04-01,164464143
2013-05-01,165309792
2013-06-01,166860422
2013-07-01,169294570
2013-08-01,170532880
2013-09-01,176114726
2013-10-01,176672082
2013-11-01,179574744
2013-12-01,198436113
2014-01-01,189959530
2014-02-01,185298262
2014-03-01,183726723
2014-04-01,184156733
2014-05-01,181536366
2014-06-01,185288894
2014-07-01,185330990
2014-08-01,186682026
2014-09-01,191296575
2014-10-01,193558086
2014-11-01,195742773
2014-12-01,215495441
2015-01-01,206614522
2015-02-01,202013242
2015-03-01,199494940
2015-04-01,198811962
2015-05-01,196246181
2015-06-01,196863823
2015-07-01,197022258
2015-08-01,196142451
2015-09-01,196414101
2015-10-01,203745644
2015-11-01,202744167
2015-12-01,221478453
2016-01-01,213738002
2016-02-01,209170821
2016-03-01,205986421
2016-04-01,204655410
2016-05-01,203894991
2016-06-01,202899794
2016-07-01,203970241
2016-08-01,203464608
2016-09-01,209599341
2016-10-01,210513153
2016-11-01,208952271
2016-12-01,227762297
2017-01-01,219621054
2017-02-01,215589080
2017-03-01,212514760
2017-04-01,214292229
2017-05-01,212960083
2017-06-01,213879003
2017-07-01,215929223
2017-08-01,214306659
2017-09-01,219062346
2017-10-01,219068490
2017-11-01,220399738
2017-12-01,241913297
2018-01-01,234289726
2018-02-01,230063824
2018-03-01,225142627
2018-04-01,223767248
2018-05-01,223529535
2018-06-01,225882018
2018-07-01,227086699
2018-08-01,227774905
2018-09-01,235941003
2018-10-01,235896575
2018-11-01,235699026
2018-12-01,257267987
2019-01-01,247412227
2019-02-01,240140027
2019-03-01,238810045
2019-04-01,237137593
2019-05-01,233660523
2019-06-01,236244219
2019-07-01,236020189
2019-08-01,236618073
2019-09-01,243839542
2019-10-01,245578740
2019-11-01,250194150
2019-12-01,273046409
2020-01-01,264753714
2020-02-01,260581585
2020-03-01,256976838
2020-04-01,273417019
2020-05-01,308570782
2020-06-01,327697904
2020-07-01,341356042
2020-08-01,349490775
2020-09-01,353940917
2020-10-01,356633606
2020-11-01,358205868
2020-12-01,366474720
2021-01-01,367987393
2021-02-01,357558576
2021-03-01,346914019
2021-04-01,341784436
2021-05-01,339264428
2021-06-01,339539712
2021-07-01,343717311
2021-08-01,343093591
2021-09-01,339173505
2021-10-01,334297469
2021-11-01,330908399
2021-12-01,336170515
2022-01-01,334082283
2022-02-01,327696582
2022-03-01,323793178
2022-04-01,321185179
2022-05-01,325068233
2022-06-01,330460453
2022-07-01,327884535
2022-08-01,324059451
2022-09-01,321286351
2022-10-01,323560040
2022-11-01,326483189
2022-12-01,336697453
2023-01-01,342030075
2023-02-01,339383004
2023-03-01,334839285
2023-04-01,329171172
2023-05-01,326589445
2023-06-01,330619222
2023-07-01,337094860
2023-08-01,335446476
2023-09-01,330860933
2023-10-01,328035813
2023-11-01,328162554
2023-12-01,336618580
2024-01-01,337527783
2024-02-01,333894701
2024-03-01,330677191
2024-04-01,331277310
2024-05-01,337788112
2024-06-01,345860241
2024-07-01,348498080
2024-08-01,347180614
2024-09-01,346447214
2024-10-01,349057929
2024-11-01,347280783
2024-12-01,351819497
2025-01-01,353318225
2025-02-01,350403539
2025-03-01,350278457
2025-04-01,348464511
2025-05-01,352078470
